target_end_date,value,type,quantile,forecast_date,target,location
2020-11-21,95.94325370743539,quantile,0.010,2020-11-20,1 day ahead inc hosp,25
2020-11-21,101.47999392837941,quantile,0.025,2020-11-20,1 day ahead inc hosp,25
2020-11-21,106.43061974209508,quantile,0.050,2020-11-20,1 day ahead inc hosp,25
2020-11-21,112.36075365468032,quantile,0.100,2020-11-20,1 day ahead inc hosp,25
2020-11-21,116.49947313486368,quantile,0.150,2020-11-20,1 day ahead inc hosp,25
2020-11-21,119.86950025490925,quantile,0.200,2020-11-20,1 day ahead inc hosp,25
2020-11-21,122.8184968229017,quantile,0.250,2020-11-20,1 day ahead inc hosp,25
2020-11-21,125.51285817613751,quantile,0.300,2020-11-20,1 day ahead inc hosp,25
2020-11-21,128.0489325460672,quantile,0.350,2020-11-20,1 day ahead inc hosp,25
2020-11-21,130.4907716838179,quantile,0.400,2020-11-20,1 day ahead inc hosp,25
2020-11-21,132.88635866438074,quantile,0.450,2020-11-20,1 day ahead inc hosp,25
2020-11-21,135.27602000411966,quantile,0.500,2020-11-20,1 day ahead inc hosp,25
2020-11-21,136.29197455336418,point,NA,2020-11-20,1 day ahead inc hosp,25
2020-11-21,137.6977668671088,quantile,0.550,2020-11-20,1 day ahead inc hosp,25
2020-11-21,140.1916876577178,quantile,0.600,2020-11-20,1 day ahead inc hosp,25
2020-11-21,142.80479813333685,quantile,0.650,2020-11-20,1 day ahead inc hosp,25
2020-11-21,145.59798055463366,quantile,0.700,2020-11-20,1 day ahead inc hosp,25
2020-11-21,148.6580203744518,quantile,0.750,2020-11-20,1 day ahead inc hosp,25
2020-11-21,152.12200708636811,quantile,0.800,2020-11-20,1 day ahead inc hosp,25
2020-11-21,156.2357209088149,quantile,0.850,2020-11-20,1 day ahead inc hosp,25
2020-11-21,161.5295852745659,quantile,0.900,2020-11-20,1 day ahead inc hosp,25
2020-11-21,169.62194150188623,quantile,0.950,2020-11-20,1 day ahead inc hosp,25
2020-11-21,176.883796501466,quantile,0.975,2020-11-20,1 day ahead inc hosp,25
